Mix ID, Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (με) 7d,Drying shrinkage (με) 28d,Drying shrinkage (με) 90d,Drying shrinkage (με)120d,Creep (με) 28d,Creep (με) 90d,Creep (με) 150d,Abrasion (mm) 28 d,Reference
R1_F40,300,150,1097,673,200,0,0,4.5,52.7,2.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2017.05.080
R1_F55,225,150,1097,673,275,0,0,4.5,39.95,2.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R1_F70,150,150,1097,673,350,0,0,4,35.7,2.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R1_S40,300,150,1097,673,0,0,200,5.5,59.5,2.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R1_S55,225,150,1097,673,0,0,275,6,51,2.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R1_S70,150,150,1097,673,0,0,350,6.5,48.45,2.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R1_F40S15,225,150,1097,673,200,0,75,5,48.45,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R1_F15S40,225,150,1097,673,75,0,200,5,55.25,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_60% FA,41.5,168,820,932,373.5,0,0,1.69,34.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2012.02.034
R2_80% FA,83,168,820,932,332,0,0,1.69,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_90% FA,166,168,820,932,249,0,0,1.69,10.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_60% SL,166,168,820,932,0,0,249,1.69,52.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_80% SL,83,168,820,932,0,0,332,1.69,57.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_90% SL,41.5,168,820,932,0,0,373.5,1.69,37.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_60% 25FA-75SL,166,168,820,932,62.25,0,186.75,1.69,54.2,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_80% 25FA-75SL,83,168,820,932,83,0,249,1.69,63,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_90% 25FA-75SL,41.5,168,820,932,93.375,0,280.125,1.69,47.2,-1,-1,39.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_60% 50FA-50SL,166,168,820,932,124.5,0,124.5,1.69,56,-1,-1,40.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_80% 50FA-50SL,83,168,820,932,166,0,166,1.69,41.4,-1,-1,41.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_90% 50FA-50SL,41.5,168,820,932,186.75,0,186.75,1.69,33,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_60% 75FA-25SL,166,168,820,932,186.75,0,62.25,1.69,49,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_80% 75FA-25SL,83,168,820,932,249,0,83,1.69,28,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R2_90% 75FA-25SL,41.5,168,820,932,280.125,0,93.375,1.69,32,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R3_A-50-50-1,260,206.7,849.4,785,260,0,0,5.72,15.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2019.117115
R3_A-50-50-2,260,206.7,849.4,785,130,0,130,5.43,28.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R3_A-50-50-3,260,206.7,849.4,785,104,52,104,6.76,34.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R3_A-50-75-1,130,206.7,849.4,785,390,0,0,5.94,6.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R3_A-50-75-2,130,206.7,849.4,785,195,0,195,4.68,16.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R3_A-50-75-3,130,206.7,849.4,785,156,78,156,6.8,30.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R3_A-100-50-1,260,214.9,832,785,260,0,0,4.78,17.85,1.57,-1,-1,-1,-1,-1,-1,396,480,496,-1,-1,-1,-1,
R3_A-100-50-2,260,214.9,832,785,130,0,130,5.67,32.62,2.75,-1,-1,-1,-1,-1,-1,400,471,478,-1,-1,-1,-1,
R3_A-100-50-3,260,214.9,832,785,104,52,104,6.86,42.02,3.66,-1,-1,-1,-1,-1,-1,425,522,523,-1,-1,-1,-1,
R3_A-100-75-1,130,214.9,832,785,390,0,0,7.4,11.59,0.96,-1,-1,-1,-1,-1,-1,405,500,500,-1,-1,-1,-1,
R3_A-100-75-2,130,214.9,832,785,195,0,195,7.28,26.21,1.67,-1,-1,-1,-1,-1,-1,407,507,507,-1,-1,-1,-1,
R3_A-100-75-3,130,214.9,832,785,156,78,156,7.57,36.34,2.89,-1,-1,-1,-1,-1,-1,440,550,551,-1,-1,-1,-1,
R4_PLC1-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,37.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cement.2022.100026
R4_PLC2-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC3-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC4-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC5-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC6-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC7-0.45-20 %FAF,290,163,1048,670,72.5,0,0,0,30,3.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC1-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,43,4.128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC2-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,35.5,3.7275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC3-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,34.5,3.46725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC4-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,35.4,3.4338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC5-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,44.5,3.58225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC6-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,40,3.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC7-0.45-30 %FAC,253.75,163,1048,670,108.75,0,0,0,38,3.8038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC1-0.45-35 %slag,235.62,163,1048,670,0,0,126.88,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC3-0.45-35 %slag,235.62,163,1048,670,0,0,126.88,0,38.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC5-0.45-35 %slag,235.62,163,1048,670,0,0,126.88,0,44.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC7-0.45-35 %slag,235.62,163,1048,670,0,0,126.88,0,39.5,3.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC1-0.45-25%FAC-5% SF,253.75,163,1048,670,90.62,18.12,0,0,40.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC3-0.45-25%FAC-5% SF,253.75,163,1048,670,90.62,18.12,0,0,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC5-0.45-25%FAC-5% SF,253.75,163,1048,670,90.62,18.12,0,0,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R4_PLC7-0.45-25%FAC-5% SF,253.75,163,1048,670,90.62,18.12,0,0,35,3.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R5_C85-FA15,368.53,260.14,810,795,50.77,0,0,0,23.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2023.132336
R5_C75-FA25,325.18,260.14,810,795,84.62,0,0,0,18.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R5_C65-FA35,281.82,260.14,810,795,118.46,0,0,0,15.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R5_C95-SF5,411.89,260.14,810,795,0,16.08,0,0,34.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R5_C90-SF10,390.21,260.14,810,795,0,32.17,0,0,36.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R5_C85-SF15,368.53,260.14,810,795,0,48.25,0,0,39.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_4SF,436.5,200,778,880,0,18,0,6.7,53.7,-1,-1,-1,5183,1403,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2015.01.053
R6_8SF,418.5,200,774,875,0,36,0,7.5,64,-1,-1,-1,966,685,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_12SF,400,200,771,870,0,54.5,0,8,64,-1,-1,-1,560,408,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_8SF18BFS,337,200,774,874,0,36,81.5,6.7,66.5,-1,-1,-1,614,529,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_18FAC,373,200,778,878,81.5,0,0,5.82,50.1,-1,-1,-1,3810,1386,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_36FAC,291,200,773,872,163.5,0,0,6.35,56.5,-1,-1,-1,3240,2286,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_36FAC18BFS,209.5,200,772,871,163.5,0,81.5,5.5,50,-1,-1,-1,1326,942,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_18FAF,373,200,772,872,81.5,0,0,4.67,41,-1,-1,-1,4901,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_36FAF,291,200,762,859,163.5,0,0,4.36,37.6,-1,-1,-1,4159,624,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_36FAF18BFS,209.5,200,761,858,163.5,0,81.5,4.31,35.8,-1,-1,-1,4204,660,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_18BFS,373,200,781,881,0,0,81.5,5.35,54.6,-1,-1,-1,2520,1834,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R6_8SF18FAC18BFS,255.5,200,769,868,81.5,36,81.5,7,56.8,-1,-1,-1,511,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R7_50%RCA+50%slag,228,182,1100,770,0,0,228,0,43,3.88,-1,23.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.ijsbe.2017.10.005
R7_50%RCA+45%slag+5%SF,228,182,1100,770,0,23,228,1.82,46,4.5,-1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
