cement_opc,scm_flyash,scm_ggbs,silica_sand,locally_avail_sand,w_b,hrwr_b,perc_of_fibre,aspect_ratio,tensile_strength,density,youngs_modulus,elongation,compressive_stregth
300.0,200.0,0.0,673.0,1097.0,150.0,4.5,0,0,2.52,2420.0,-1.0,0,52.7
225.0,275.0,0.0,673.0,1097.0,150.0,4.5,0,0,2.4,2420.0,-1.0,0,39.95
150.0,350.0,0.0,673.0,1097.0,150.0,4.0,0,0,2.05,2420.0,-1.0,0,35.7
300.0,0.0,200.0,673.0,1097.0,150.0,5.5,0,0,2.75,2420.0,-1.0,0,59.5
225.0,0.0,275.0,673.0,1097.0,150.0,6.0,0,0,2.65,2420.0,-1.0,0,51.0
150.0,0.0,350.0,673.0,1097.0,150.0,6.5,0,0,2.35,2420.0,-1.0,0,48.45
225.0,200.0,75.0,673.0,1097.0,150.0,5.0,0,0,2.5,2420.0,-1.0,0,48.45
225.0,75.0,200.0,673.0,1097.0,150.0,5.0,0,0,2.37,2420.0,-1.0,0,55.25
41.5,373.5,0.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,-1.0,0,34.1
83.0,332.0,0.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,-1.0,0,40.0
166.0,249.0,0.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,-1.0,0,10.9
166.0,0.0,249.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,-1.0,0,52.3
83.0,0.0,332.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,-1.0,0,57.6
41.5,0.0,373.5,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,-1.0,0,37.9
166.0,62.25,186.75,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,38.0,0,54.2
83.0,83.0,249.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,40.0,0,63.0
41.5,93.375,280.125,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,39.7,0,47.2
166.0,124.5,124.5,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,40.5,0,56.0
83.0,166.0,166.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,41.5,0,41.4
41.5,186.75,186.75,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,40.0,0,33.0
166.0,186.75,62.25,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,38.0,0,49.0
83.0,249.0,83.0,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,38.0,0,28.0
41.5,280.125,93.375,932.0,820.0,168.0,1.69,0,0,-1.0,2335.0,40.0,0,32.0
260.0,260.0,0.0,785.0,849.4,206.7,5.72,0,0,-1.0,2361.1,-1.0,0,15.33
260.0,130.0,130.0,785.0,849.4,206.7,5.43,0,0,-1.0,2361.1,-1.0,0,28.48
260.0,104.0,104.0,785.0,849.4,206.7,6.76,0,0,-1.0,2309.1,-1.0,0,34.26
130.0,390.0,0.0,785.0,849.4,206.7,5.94,0,0,-1.0,2361.1,-1.0,0,6.09
130.0,195.0,195.0,785.0,849.4,206.7,4.68,0,0,-1.0,2361.1,-1.0,0,16.71
130.0,156.0,156.0,785.0,849.4,206.7,6.8,0,0,-1.0,2283.1,-1.0,0,30.21
260.0,260.0,0.0,785.0,832.0,214.9,4.78,0,0,1.57,2351.9,-1.0,0,17.85
260.0,130.0,130.0,785.0,832.0,214.9,5.67,0,0,2.75,2351.9,-1.0,0,32.62
260.0,104.0,104.0,785.0,832.0,214.9,6.86,0,0,3.66,2299.9,-1.0,0,42.02
130.0,390.0,0.0,785.0,832.0,214.9,7.4,0,0,0.96,2351.9,-1.0,0,11.59
130.0,195.0,195.0,785.0,832.0,214.9,7.28,0,0,1.67,2351.9,-1.0,0,26.21
130.0,156.0,156.0,785.0,832.0,214.9,7.57,0,0,2.89,2273.9,-1.0,0,36.34
290.0,72.5,0.0,670.0,1048.0,163.0,0.0,0,0,-1.0,2243.5,-1.0,0,37.5
290.0,72.5,0.0,670.0,1048.0,163.0,0.0,0,0,-1.0,2243.5,-1.0,0,36.0
